preferencia,titulo,comuna,estacion_cercana,distancia_estacion,dormitorios,baños,estacionamientos,bodegas,superficie_total,superficie_util,currency_symbol,precio,gastos_comunes,search_gc,descripcion,direccion,url
0,Departamento En Arriendo De 3 Dorm. En La Reina,La Reina,Príncipe de Gales,1276,3,4,2,1,195,180,$,1200000,0,0,"casa de dos pisos en condominio tres dormitorios mas escritorio o cuarto dormitorio dormitorio principal en suite con walkin closet otros dos dormitorios comparten un bano con ventilacion natural,living comedor separados con salida a amplia terraza y jardin privado tiene bano de visitas,cocina amoblada completa con encimera horno y campana logia grande con lavadero y dependencias de servicio,sector residencial de la reina ,disponible para visitar se desocupara a fines de mayo","La Cañada 6700, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-983012192-departamento-en-arriendo-de-3-dorm-en-la-reina-_JM#position=20&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Hermoso Y Cómodo Departamento De 140m2 En Total,La Reina,Príncipe de Gales,425,3,3,2,1,140,126,$,1500000,,0,"amplio living comedor y amplia terraza con vista panoramica nororiente cocina logia 3 dormitorios principal en suite y waking closet dos banos recibidor independiente 2 estacionamientos bodega,edificio cuenta con,amplia recepcion 247,piscina,2 salas de eventos,sala de lectura,quincho,areas verdes,gc 180000 aprox,contribuciones 350000,posibilidad de arriendo con compromiso de compra 1400000 incluye gc","Loreley 1500 - 1800, La Reina, Chile, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-977544074-hermoso-y-comodo-departamento-de-140m2-en-total-_JM#position=18&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Francisco Bilbao Remodelado Duplex Sin Gastos Comunes,La Reina,,,3,2,1,,100,105,$,890000,0,0,"departamento duplex estilo linea batuco cocina 100 remodelada 3 dormitorios en segundo piso un solo bano completo amplios dormitorios primer piso living comedor termo panel bano de visita con conexion para lavadora ,tiene un pequeno balcon salida del living,calefon,no tiene calefaccion,este edificio no hay conserje ni cuidador hay jardinero y persona de aseo,estacionamiento es el que se muestra en la foto,garantia 2 meses,aval,dicom,liquidaciones aval y arrendatario,no se aceptan mascotas","Avenida Francisco Bilbao 7085, La Reina, Chile, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-986582968-francisco-bilbao-remodelado-duplex-sin-gastos-comunes-_JM#position=19&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Departamento Dúplex Nuevo,La Reina,Príncipe de Gales,910,4,3,2,1,217,135,$,1550000,200000,0,duplex nuevo a estrenar fabuloso departamento en primer y segundo piso cuenta con terraza y jardin autoregante tiene 3 dormitorios mas 1 dormitorio estar escritorio adicional el principal esta en suite y sus 3 banos son completos calefaccion central por radiadores murales pisos en porcelanato altura a cielos 261 m y sus ventanas y ventanales son en termopanel dobles living comedor cocina americana cubierta de cuarzo despensa horno empotrado cocina encimera electrica cristal y campana todos marca fdv moderno luminoso orientaciones norte y sur todas las luces y las cortinas rollers estan instaladas cuenta con 2 estacionamientos subterraneos en paralelo y 1 bodega estacionamientos visita a pasos del colegio the grange school del boulevard principe de gales de la metro estacion principe de gales del prince of wales country club de varias plazas areas verdes y deportivas del comercio y excelentes restaurantes estan instalando las luces y las cortinas rollers se entrega impecable,"John Jackson 1747, La Reina, Chile, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-979559056-departamento-duplex-nuevo-_JM#position=21&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Disponibilidad Inmediata En La Reina,La Reina,Príncipe de Gales,412,3,2,1,1,118,98,$,830000,110000,0,"arriendo departamento 3 dormitorios principal en suite con 3 closets livingcomedor con salida a terraza cocina independiente incluye cocina encimera horno logia con calefont 2 dormitorios de igual tamano con amplio closet 2 banos 2 terrazas con malla de seguridad ,1 estacionamiento y 1 bodega pisos de ceramica en todo el departamento recien pintado piso 20 ubicado en la comuna de la reina a 1 cuadra del metro principe de gales entre las calles av ossa y mariano sanchez fontecilla cercano a colegio de la salle the grange school san luis de las condes la fontaine la abadia san juan de las condes akros y john andrews adventist academy,el edificio cuenta con conserjeria las 24 hrs piscina sala de eventos jardines interiores y estacionamientos de visitas,id 2808,para agendar visita coordinar con,fabiola pena,agente bienes raices,coldwell banker chile,569 96411171 569 74104694 56 233241880","Las Arañas 5700 - 6000, Santiago, La Reina, Chile, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-978635767-disponibilidad-inmediata-en-la-reina-_JM#position=16&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Depto Vista Despejada- La Reina- Nuevo-3d-,La Reina,,,3,3,2,1,191,145,$,2000000,180000,0,"amplio departamento a estrenar de espectaculares vistas en condominio ubicado en la comuna de la reina con santiago a sus pies el escultor sigue un modelo ecologico y cuenta con extensas areas verdes las cuales son regadas con agua de canal este condominio destaca por su paisajismo vista y elegancia siendo un proyecto unico en el sector por sus espacios variedad de modelos y excelente arquitectura,edificio ubicado en un entorno tranquilo cercano a colegios supermercados centros comerciales jardines infantiles bancos comercio y servicios,cuenta con 3 amplios dormitorios principal en suite con walkin closet y salida a terraza amplio living comedor con salida a gran terraza con increibles vistas libres a santiago cocina cerrada amoblada y equipada con horno encimera electrica lavavajillas y amplia logia cerrada para conexion a lavadora,ventanas termopanel con marcos de pvc pisos de porcelanato en banos y cocina piso flotante en dormitorios,incluye 2 estacionamientos y 1 bodega,gasto comun 180000 app,disponible a partir de la segunda semana de abril 2022","Alvaro Casanova 1453, La Reina, Chile, La Reina Alta, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-969349507-depto-vista-despejada-la-reina-nuevo-3d--_JM#position=17&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,A Pasos De P. De Gales,La Reina,,,3,2,,,85,100,$,700000,65766,0,"amplio departamento en primer piso con patio con jardin y arboles frutales citricos,3 dormitorios,2 banos,cocina amoblada,living comedor,no posee bodega ni estacionamiento,gastos comunes aprox 65765,disponible para visitas despues de semana santa,disponible para habitar a mediados de mayo de 2022,conserjeria dos turnos,a pasos de p de gales,condominio tranquilo de personas mayores ideal para pareja sola o con un hijo","Mateo De Toro Y Zambrano 1500 - 1800, La Reina, Chile, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-981259023-a-pasos-de-p-de-gales-_JM#position=14&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,"A Pasos Linea 3 Y 4 Metro, Frente A Mall Plaza Egaña",La Reina,Plaza Egaña,299,2,2,1,1,65,60,$,700000,130000,0,"moderno edificio de no mas de 3 anos de antiguedad ubicado en un sector residencial y comercial a la vez de la comuna de la reina se destaca que la propiedad se encuentra cercana a colegios centros medicos y comercialmente al lado del mall plaza egana y supermercados,un elemento importante a destacar es su ubicacion ya que se encuentra cerca de avenidas importantes que permiten desplazarse en transporte publico como de estaciones de metro ya que por su ubicacion se tiene acceso a la linea 4 y 3 donde se destaca que se tiene facil acceso desde y hacia el departamento,el departamento esta en un piso 10 superficie util de 0 mts2 en los cuales se distribuyen 2 dormitorios 2 banos livingcomedor y cocina americana,se destaca del departamento lo siguiente, el dormitorio principal es en suite con walking closet, tiene un segundo dormitorio amplio y bano, la cocina posee refrigerador empotrado cocina vitroceramica de 4 platos microonda y horno electrica cubierta de granito, tiene una amplia loggia para lavado y secado de la ropa, tiene 1 estacionamiento y 1 bodega,se destaca del edificio lo siguiente, posee 6 quinchos en el ultimo piso del edificio, piscina exterior, sala de eventos, areas verdes y juegos infantiles, con bicicletero y estacionamiento para visitas, seguridad 247 con acceso controlado","Hannover 5700 - 6000, La Reina, Chile, Metro Simón Bolivar, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-984573069-a-pasos-linea-3-y-4-metro-frente-a-mall-plaza-egana-_JM#position=15&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Departamento A Estrenar De Espectaculares Vistas,La Reina,,,3,3,2,,191,145,$,2000000,180000,0,"amplio departamento a estrenar de espectaculares vistas en condominio ubicado en la comuna de la reina con santiago a sus pies el escultor sigue un modelo ecologico y cuenta con extensas areas verdes las cuales son regadas con agua de canal este condominio destaca por su paisajismo vista y elegancia siendo un proyecto unico en el sector por sus espacios variedad de modelos y excelente arquitectura ,edificio ubicado en un entorno tranquilo cercano a colegios supermercados centros comerciales jardines infantiles bancos comercio y servicios,cuenta con 3 amplios dormitorios principal en suite con walkin closet y salida a terraza amplio living comedor con salida a gran terraza con increibles vistas libres a santiago cocina cerrada amoblada y equipada con horno encimera electrica lavavajillas y amplia logia cerrada para conexion a lavadora,ventanas termopanel con marcos de pvc pisos de porcelanato en banos y cocina piso flotante en dormitorios,incluye 2 estacionamientos y 1 bodega,,gasto comun 180000 app,,disponible a partir de la segunda semana de marzo 2022,english spoken","Álvaro Casanova, 1453, La Reina Alta, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-951984038-departamento-a-estrenar-de-espectaculares-vistas-_JM#position=13&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
0,Departamento En Arriendo De 2 Dorm. En La Reina,La Reina,Simón Bolívar,426,2,2,1,,"91,5","73,5",$,1000000,200000,0,"exclusivo edificio de solo 88 departamentos en 9 pisos a diferencia de la mayoria de los edificios en venta cercanos a este proyecto los espacios son realmente grandes pasillos de acceso a los departamentos de 25 metros de ancho enormes dormitorios principales y magnificas terrazas entre otros aparte de la amplitud destaca un alto estandar de habitabilidad con luminosos y generosos espacios,,departamento nuevo recien entregado cuenta con 2 habitaciones grandes en suite cocina americana y una amplia terraza,,1 estacionamiento y bodega ,,,,extraordinaria ubicacion a una cuadra del metro simon bolivar en un sector residencial y tranquilo conectado a la vida urbana con la comodidad de tener todo al alcance de la mano mall plaza egana cine hoyts restaurantes centros culturales areas verdes colegios de prestigio servicios de todo tipo y diversos lugares de interes la combinacion perfecta para la vida en familia,,caracteristicas y terminaciones puertas de acceso enchapadas en madera pisos fotolaminados en tecnologia spc ventanas con termopanel solo en recintos habitables cocinas con comedor de diario y doble acceso porcelanatos cubiertas de granito o cuarzo banos principales con shower door y banos de visita el agua caliente se generara a traves de calefones individuales de tiro forzado de 24 litros anwo,,,,equipamiento comunitario hall de acceso de doble altura y recepcion amoblada sala multiuso gimnasio equipado y jardin con piscina en el primer piso sala de conserjeria para el control de los accesos circuito cerrado de tv con grabacion de imagenes y 2 ascensores con puertas de apertura centra","San Vicente De Paul, Metro Simón Bolivar, La Reina, RM (Metropolitana)",https://www.portalinmobiliario.com/MLC-987562467-departamento-en-arriendo-de-2-dorm-en-la-reina-_JM#position=9&search_layout=stack&type=item&tracking_id=7cfc3f2d-adc3-46d7-bda6-b9a0b7c9587e
